ConceptuallyRelatedTo	دخترباز	دختر/n
ConceptuallyRelatedTo	روان_پزشک	روان/n
DerivedFrom	اعتراضنامه	نامه/n
ConceptuallyRelatedTo	عصبی	عصب/n
Synonym	کوچه	زقاق/n
ConceptuallyRelatedTo	منزلگاه	منزل/n
ConceptuallyRelatedTo	چکى	چک/n
ConceptuallyRelatedTo	یخچال	یخ/n
ConceptuallyRelatedTo	یخچال	چال/n
ConceptuallyRelatedTo	تاجیکی	تاجیک/n
ConceptuallyRelatedTo	تاجیکی	تاجیکستان
ConceptuallyRelatedTo	سپاسگزار	سپاس/n
ConceptuallyRelatedTo	کارت_اعتباری	کارت/n
Synonym	دموکراسی	مردم‌سالاری/n
ConceptuallyRelatedTo	مکانیکی	مکانیک/n
ConceptuallyRelatedTo	مبله	مبل/n
ConceptuallyRelatedTo	تاجیکستان	تاجیک/n
ConceptuallyRelatedTo	تاجیکستان	ستان
ConceptuallyRelatedTo	تاریکی	تاریک/a
ConceptuallyRelatedTo	کوهستان	کوه/n
ConceptuallyRelatedTo	کوهستان	ستان
DerivedFrom	درک_کردن	کردن/v
DerivedFrom	درک_کردن	درک/a
ConceptuallyRelatedTo	زبان	زبان‌شناسی/n
ConceptuallyRelatedTo	دادستان	ستان
ConceptuallyRelatedTo	نمایشگاه	نمایش/n
ConceptuallyRelatedTo	پرنده‌شناسی	پرنده/n
DerivedFrom	سفر_کردن	کردن/v
ConceptuallyRelatedTo	سفر_کردن	سفر/n
ConceptuallyRelatedTo	دیوسان	دیو/n
DerivedFrom	کیسه_هوا	کیسه/n
ConceptuallyRelatedTo	کره	کره‌ای/n
ConceptuallyRelatedTo	کره	کره‌ای/a
ConceptuallyRelatedTo	کرم	کرم_ابریشم/n
ConceptuallyRelatedTo	کرم	کرم_کتاب/n
DerivedFrom	لنگرگاه	گاه/n
DerivedFrom	لنگرگاه	لنگر/n
DerivedFrom	صابرآباد	آباد/n
ConceptuallyRelatedTo	مردم_‌دوستی	مردم/n
ConceptuallyRelatedTo	اسلامی	جمهوری_اسلامی_ایران
ConceptuallyRelatedTo	حربی	حرب/n
ConceptuallyRelatedTo	بی‌کار	بی‌کاری/n
ConceptuallyRelatedTo	الشهید	شهید/n
ConceptuallyRelatedTo	درد	دست_شما_درد_نکنه
ConceptuallyRelatedTo	زخمی_شدن	زخم/n
ConceptuallyRelatedTo	فرنگی	توت_فرنگی/n
ConceptuallyRelatedTo	سریالی	سریال/n
DerivedFrom	صندوقدار	صندوق/n
ConceptuallyRelatedTo	صندوقدار	دار/n
DerivedFrom	ثابت_کردن	کردن/v
DerivedFrom	کم‌خونی	کم/a
Synonym	هیرکده	آتشکده/n
ConceptuallyRelatedTo	اسپانیایی	اسپانیولی/n
ConceptuallyRelatedTo	اسپانیایی	اسپانیا
Synonym	دگمه	تکمه/n
DerivedFrom	فیروزآباد	آباد/n
ConceptuallyRelatedTo	جمهوری_اسلامی_ایران	اسلامی/a
DerivedFrom	تبریک_گفتن	تبریک/i
ConceptuallyRelatedTo	آخرین	اخیرا/r
ConceptuallyRelatedTo	آخرین	آخر/n
ConceptuallyRelatedTo	ارغوان	ارغوانی/a
ConceptuallyRelatedTo	هفت‌سین	هفت
ConceptuallyRelatedTo	دیپلمات	دیپلماسی/n
ConceptuallyRelatedTo	مهبل	مهبلی/a
ConceptuallyRelatedTo	امپراتوری	امپراتور/n
ConceptuallyRelatedTo	لرستان	ستان
ConceptuallyRelatedTo	مالی	مال/n
ConceptuallyRelatedTo	آمریکایی	آمریکا
ConceptuallyRelatedTo	آزموده	آزمودگی/n
ConceptuallyRelatedTo	آزموده	آزمایش/n
ConceptuallyRelatedTo	آزموده	آزمودن/v
DerivedFrom	راه_رفتن	رفتن/v
ConceptuallyRelatedTo	راه_رفتن	راه/n
ConceptuallyRelatedTo	سکس	سکسی/a
ConceptuallyRelatedTo	تخت	تخت_طاووس
ConceptuallyRelatedTo	هر	توانا_بود_هر_که_دانا_بود
ConceptuallyRelatedTo	زبان_عربی	عربستان_سعودی
ConceptuallyRelatedTo	زبان_عربی	عربی/a
ConceptuallyRelatedTo	پشیمانی	پشیمان/a
ConceptuallyRelatedTo	ژاپنی	ژاپن
ConceptuallyRelatedTo	آلمان	آلمانی/a
ConceptuallyRelatedTo	آرامش	آرام/n
ConceptuallyRelatedTo	آتش	آتشکده/n
ConceptuallyRelatedTo	قالین	گلیم/n
DerivedFrom	نامهیا	نامه/n
Synonym	عادل	دادگر/a
ConceptuallyRelatedTo	پشمینه	پشم/n
ConceptuallyRelatedTo	ویروس	ویروسی/a
ConceptuallyRelatedTo	متاسفانه	متاسف/a
ConceptuallyRelatedTo	انقلاب_اسلامی	انقلاب/n
ConceptuallyRelatedTo	رئیس	ریاست/n
DerivedFrom	صفحه‌کلید	کلید/n
ConceptuallyRelatedTo	پر	پری/n
ConceptuallyRelatedTo	قانونی	قانون/n
ConceptuallyRelatedTo	ارزانی	ارزان/a
ConceptuallyRelatedTo	مهاجرت	مهاجر/n
DerivedFrom	اتو_کردن	کردن/v
ConceptuallyRelatedTo	ها	ان
ConceptuallyRelatedTo	کویتی	کویت
ConceptuallyRelatedTo	کرم_خورده	کرم/n
ConceptuallyRelatedTo	زور	زورخانه/n
ConceptuallyRelatedTo	یخ	یخی/a
ConceptuallyRelatedTo	کاشف	کشف/n
DerivedFrom	کمرنگ	کم/a
ConceptuallyRelatedTo	سر_درد	سر/n
ConceptuallyRelatedTo	میانجی	میانجیگری/n
ConceptuallyRelatedTo	آب_بینی	آب/n
ConceptuallyRelatedTo	شیطان	شیطانی/n
DerivedFrom	کارگاه	گاه/n
ConceptuallyRelatedTo	خواهرانه	خواهر/n
ConceptuallyRelatedTo	ذبح_کردن	ذبح/n
ConceptuallyRelatedTo	و	والله/i
DerivedFrom	مچ_پا	مچ/n
ConceptuallyRelatedTo	کریسمس_مبارک	کریسمس
ConceptuallyRelatedTo	فرهنگ	فرهنگستان/n
ConceptuallyRelatedTo	مجازات_مرگ	مجازات/n
ConceptuallyRelatedTo	تک‌شاخ	شاخ/n
ConceptuallyRelatedTo	اقیانوس	اقیانوسی/a
DerivedFrom	عالی‌قاپو	قاپو/n
ConceptuallyRelatedTo	اسلام	اسلامی/a
ConceptuallyRelatedTo	دختری	دختر/n
ConceptuallyRelatedTo	عدس	عدسی/n
ConceptuallyRelatedTo	آزمایش	آزموده/a
ConceptuallyRelatedTo	آزمایش	آزمودگی/n
ConceptuallyRelatedTo	آزمایش	آزمودن/v
ConceptuallyRelatedTo	لهستان	لهستانی/n
ConceptuallyRelatedTo	لهستان	ستان
ConceptuallyRelatedTo	بوسه	بوس/n
ConceptuallyRelatedTo	ارائه_دادن	ارائه/n
ConceptuallyRelatedTo	مسیح	مسیحیت/n
ConceptuallyRelatedTo	طلاقت	طلاق/n
ConceptuallyRelatedTo	ساختن	ساختمان/n
ConceptuallyRelatedTo	فرنگستان	ستان
Synonym	شاش	پیشاب/n
ConceptuallyRelatedTo	شاش	شاشیدن/v
Synonym	پاییز	خزان/n
ConceptuallyRelatedTo	عید_فطر	عید/n
ConceptuallyRelatedTo	توریست	توریستی/a
ConceptuallyRelatedTo	دست	دستبند/n
ConceptuallyRelatedTo	دست	دست_شما_درد_نکنه
DerivedFrom	مهشید	مه/n
Synonym	آگاهی	ویستا/n
DerivedFrom	بلند_کردن	کردن/v
Synonym	بلند_کردن	شق_کردن/v
ConceptuallyRelatedTo	بلند_کردن	بلند/a
ConceptuallyRelatedTo	خواهش_می‌کنم	خواهش/n
DerivedFrom	عدد_جبری	عدد/n
ConceptuallyRelatedTo	هیچ‌کس	کس/n
ConceptuallyRelatedTo	هیچ‌کس	کسی/n
ConceptuallyRelatedTo	لبنان	لبنانی/n
Synonym	سکر	مستی/n
DerivedFrom	فراموش_کردن	کردن/v
ConceptuallyRelatedTo	شاد	شادی/n
DerivedFrom	اسدآباد	آباد/n
ConceptuallyRelatedTo	دزد	دزدی/n
ConceptuallyRelatedTo	میانه	خاورمیانه
